"biotypes"	"length"	"gc"
"ENSMUSG00000028180"	"protein_coding"	2641	38.91
"ENSMUSG00000028182"	"protein_coding"	2650	39.47
"ENSMUSG00000028185"	"protein_coding"	2566	44.51
"ENSMUSG00000028184"	"protein_coding"	3596	47.29
"ENSMUSG00000028187"	"protein_coding"	1263	44.34
"ENSMUSG00000028186"	"protein_coding"	1148	45.87
"ENSMUSG00000028189"	"protein_coding"	2760	38.41
"ENSMUSG00000028188"	"protein_coding"	1791	39.20
"ENSMUSG00000035429"	"protein_coding"	3757	54.03
"ENSMUSG00000035427"	"protein_coding"	2402	45.98
"ENSMUSG00000035420"	"protein_coding"	1342	49.70
"ENSMUSG00000070074"	"miRNA"	67	58.21
"ENSMUSG00000070075"	"miRNA"	84	47.62
"ENSMUSG00000070076"	"miRNA"	97	51.55
"ENSMUSG00000070077"	"miRNA"	86	46.51
"ENSMUSG00000070071"	"miRNA"	74	36.49
"ENSMUSG00000070072"	"miRNA"	124	56.45
"ENSMUSG00000070073"	"miRNA"	75	42.67
"ENSMUSG00000070078"	"miRNA"	75	33.33
"ENSMUSG00000069833"	"protein_coding"	9572	51.52
"ENSMUSG00000069830"	"protein_coding"	3835	48.31
"ENSMUSG00000028238"	"protein_coding"	1456	40.83
"ENSMUSG00000033862"	"protein_coding"	1643	56.48
"ENSMUSG00000033863"	"protein_coding"	3263	52.47
"ENSMUSG00000033860"	"protein_coding"	1564	46.16
"ENSMUSG00000069835"	"protein_coding"	928	50.74
"ENSMUSG00000028233"	"protein_coding"	1352	40.14
"ENSMUSG00000028232"	"protein_coding"	1292	40.64
"ENSMUSG00000028236"	"protein_coding"	1015	45.82
"ENSMUSG00000028234"	"protein_coding"	1600	48.12
"ENSMUSG00000044537"	"protein_coding"	390	44.36
"ENSMUSG00000044534"	"protein_coding"	2784	52.55
"ENSMUSG00000068122"	"protein_coding"	1798	40.60
"ENSMUSG00000068120"	"protein_coding"	647	55.33
"ENSMUSG00000046020"	"protein_coding"	2754	52.93
"ENSMUSG00000044538"	"pseudogene"	899	47.05
"ENSMUSG00000093850"	"miRNA"	71	57.75
"ENSMUSG00000075165"	"protein_coding"	939	41.11
"ENSMUSG00000075164"	"protein_coding"	939	39.40
"ENSMUSG00000075167"	"protein_coding"	933	39.12
"ENSMUSG00000075166"	"protein_coding"	933	41.59
"ENSMUSG00000075161"	"protein_coding"	939	40.89
"ENSMUSG00000075160"	"protein_coding"	939	40.47
"ENSMUSG00000075163"	"protein_coding"	1109	39.50
"ENSMUSG00000075162"	"pseudogene"	546	66.48
"ENSMUSG00000075169"	"protein_coding"	1076	39.17
"ENSMUSG00000075168"	"protein_coding"	1031	37.92
"ENSMUSG00000078350"	"lincRNA"	1181	59.14
"ENSMUSG00000018209"	"protein_coding"	2231	47.71
"ENSMUSG00000044288"	"protein_coding"	4108	50.42
"ENSMUSG00000044285"	"pseudogene"	690	57.10
"ENSMUSG00000044286"	"protein_coding"	1062	49.91
"ENSMUSG00000044287"	"protein_coding"	610	60.08
"ENSMUSG00000006958"	"protein_coding"	3383	58.10
"ENSMUSG00000087577"	"antisense"	425	43.29
"ENSMUSG00000087575"	"lincRNA"	435	46.06
